Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsFlipDelay,MsAllInputToPhotonLatency,MsClickToPhotonLatency
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,21.2972,NA,13.75440000000000,NA,0.15340000000000,0.00000000000000,NA,7.7132,13.7374,13.5840,0.1534,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,38.1089,NA,16.81170000000000,NA,0.17030000000000,0.00000000000000,NA,21.4506,16.8286,16.6583,0.1703,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,54.6264,NA,16.51750000000000,NA,0.13870000000000,0.00000000000000,NA,38.2792,16.4859,16.3472,0.1387,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,71.3238,NA,16.69740000000000,NA,0.26540000000000,0.26390000000000,NA,54.7651,16.8241,16.5587,0.2654,0.0000,50.4338,3.8543,46.5795,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,87.9707,NA,16.64690000000000,NA,0.13220000000000,0.00000000000000,NA,71.5892,16.5137,16.3815,0.1322,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,105.2919,NA,17.32120000000000,NA,0.20800000000000,0.00000000000000,NA,88.1029,17.3970,17.1890,0.2080,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,121.3464,NA,16.05450000000000,NA,0.14020000000000,0.00000000000000,NA,105.4999,15.9867,15.8465,0.1402,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,137.9952,NA,16.64880000000000,NA,0.18280000000000,0.00000000000000,NA,121.4866,16.6914,16.5086,0.1828,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,154.6347,NA,16.63950000000000,NA,0.14230000000000,0.00000000000000,NA,138.1780,16.5990,16.4567,0.1423,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,171.4765,NA,16.84180000000000,NA,0.17100000000000,0.00000000000000,NA,154.7770,16.8705,16.6995,0.1710,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,187.9977,NA,16.52120000000000,NA,0.14280000000000,0.00000000000000,NA,171.6475,16.4930,16.3502,0.1428,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,204.6675,NA,16.66980000000000,NA,0.17280000000000,0.00000000000000,NA,188.1405,16.6998,16.5270,0.1728,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,221.3149,NA,16.64740000000000,NA,0.15870000000000,0.00000000000000,NA,204.8403,16.6333,16.4746,0.1587,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,238.2130,NA,16.89810000000000,NA,0.15850000000000,0.00000000000000,NA,221.4736,16.8979,16.7394,0.1585,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,254.6737,NA,16.46070000000000,NA,0.13430000000000,0.00000000000000,NA,238.3715,16.4365,16.3022,0.1343,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,271.3227,NA,16.64900000000000,NA,0.17260000000000,0.00000000000000,NA,254.8080,16.6873,16.5147,0.1726,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,287.9469,NA,16.62420000000000,NA,0.11990000000000,0.00000000000000,NA,271.4953,16.5715,16.4516,0.1199,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,304.9079,NA,16.96100000000000,NA,0.17560000000000,0.00000000000000,NA,288.0668,17.0167,16.8411,0.1756,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,321.2771,NA,16.36920000000000,NA,0.15250000000000,0.00000000000000,NA,305.0835,16.3461,16.1936,0.1525,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,337.9691,NA,16.69200000000000,NA,0.26280000000000,0.24690000000000,NA,321.4296,16.8023,16.5395,0.2628,0.0000,266.0942,17.8024,248.2918,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,354.6599,NA,16.69080000000000,NA,0.14360000000000,0.00000000000000,NA,338.2319,16.5716,16.4280,0.1436,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,371.4874,NA,16.82750000000000,NA,0.23820000000000,0.00000000000000,NA,354.8035,16.9221,16.6839,0.2382,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,387.9931,NA,16.50570000000000,NA,0.15750000000000,0.00000000000000,NA,371.7256,16.4250,16.2675,0.1575,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,404.6473,NA,16.65420000000000,NA,0.15500000000000,0.00000000000000,NA,388.1506,16.6517,16.4967,0.1550,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,421.3014,NA,16.65410000000000,NA,0.12170000000000,0.00000000000000,NA,404.8023,16.6208,16.4991,0.1217,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,438.0235,NA,16.72210000000000,NA,0.33220000000000,0.00000000000000,NA,421.4231,16.9326,16.6004,0.3322,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
